name,dob,aadhar number,vid
Aparna DSouza,15/09/2006,9632 9393 9713,4597 8803 8272 8293
Karan Damani,30/04/1981,6013 8407 5740,2344 8070 9769 4910
Amrita Mittal,31/05/1981,2948 3141 7688,4573 6252 7237 2921
Nisha Wadhwa,31/01/2006,7774 6583 4756,9874 1674 7053 5328
Diya Mathew,03/07/1998,6744 2274 7795,5536 4609 3035 8844
Rakesh Nagpal,13/02/2005,7929 9325 7641,2406 8708 4737 9839
Nikhil Ahuja,03/02/2006,5516 5071 1293,1959 2382 7951 8685
Sanjay Yadav,11/04/1988,9927 5902 8440,0620 8026 3404 9622
Deepti Menezes,21/03/1988,7494 0823 5479,7620 5728 1576 5803
Yogesh Zaveri,23/12/1991,1275 9644 9337,2558 8398 0284 3583
Ajay Barot,31/08/2003,3143 9739 6730,8294 3634 9980 3143
Madhavi Khatri,06/05/1985,6908 2307 5790,9918 5456 6848 5091
Aarav Gonsalves,03/06/1983,5363 8468 1253,5508 2633 9889 4157
Hemant Puri,12/01/2003,9902 7700 0283,3101 1395 4509 4717
Vinay Zaveri,12/04/1990,7132 4765 3493,1034 0981 1351 6298
Ruchi Das,08/10/1994,0809 3745 2112,8092 5797 5024 2535
Aditya Narang,10/03/1991,4683 1269 1044,8710 6197 7562 5407
Kiran Desai,09/11/1997,5208 6017 6565,8236 5346 1865 0473
Uday Dube,15/08/1986,3955 9246 0719,2124 3954 5869 4375
Aparna Rao,21/08/1997,4253 4830 6937,6794 2790 7212 9491
Kunal Martins,22/11/1992,2781 3802 6300,7587 9558 3756 9136
Harish Bhatt,08/05/2003,3434 2460 3168,6954 6627 3120 0004
Preeti D�Souza,15/11/2001,3248 2001 7389,0437 3280 1428 7870
Neha Carvalho,24/08/1996,3316 5199 3604,2708 8140 6432 5343
Aparna Dutta,19/01/1985,9625 4868 0274,1022 7854 3406 3703
Ajay Menezes,07/12/1999,7018 4829 0793,0552 6380 2879 6470
Leena Narang,06/04/1983,9882 7362 3164,9723 3384 7174 5535
Dinesh Dias,30/01/2005,7685 2243 9263,7559 6611 0094 6910
Divya DCosta,22/03/1990,9937 6371 2598,4347 5734 3330 3541
Sharad Bagga,16/12/1995,3941 0910 5053,8418 4168 5650 1990
Anil Dube,02/03/1998,2975 1246 8760,4116 6458 8117 3655
Preeti Bagga,26/01/1984,9602 6896 4101,1227 4853 5146 8184
Deepti Malhotra,01/12/1995,4030 5075 8289,5972 3720 8693 3760
Rakesh Saraf,21/05/1996,4636 0657 8379,9505 9176 0739 8631
Siddharth Verma,11/11/2000,4642 3170 5485,5357 9857 0294 8916
Kunal Verma,02/09/1984,0215 3994 5615,7883 9763 5644 1949
Raj Goel,19/11/1997,2213 6316 0075,7226 1306 9503 3166
Tarun Rawat,06/03/1992,1059 5382 3704,6239 2800 5762 4788
Tushar Patel,20/04/1987,6174 4204 3621,6928 7739 5772 2267
Neelam Kalra,21/09/2003,0420 9296 5870,1052 6002 7585 9376
Sanjay Mittal,19/01/1999,9493 9140 9913,9542 0584 4937 9660
Gayatri Kapoor,19/05/1994,3197 2986 7435,6276 3527 2944 9564
Rekha Ahuja,13/05/2005,6922 5855 4814,2900 9558 5021 3081
Pallavi Zaveri,11/10/1993,5709 3543 0631,4610 1961 2792 9606
Keshav Bhadoria,29/06/1993,8932 9575 8616,3817 3708 4495 6808
Anil Pande,30/04/1999,9718 2865 8485,6476 5181 1198 6849
Abhishek Wadhwa,24/01/1986,5098 5168 2600,3042 1653 8271 5033
Ayesha D�Costa,22/01/2005,2112 9044 0918,5370 4057 8236 6357
Kavya Barot,24/12/1989,8151 1071 5608,3152 7943 2310 4687
Arjun Chatterjee,12/02/1998,8399 3769 8320,0372 0807 8661 7399
Mohit Vyas,20/04/1991,2896 5580 7742,1579 1676 4333 9329
Shalini Ahluwalia,03/01/1998,3066 0683 0136,9546 6030 1628 5469
Lakshya Rawat,01/03/2004,9920 1892 5048,8285 9464 7233 8401
Neelam Iyer,17/12/2002,3449 9771 4989,9800 6602 2507 4987
Sunita Iyer,27/12/1989,7370 1802 7373,9973 2478 4394 1027
Varun Bose,06/12/1981,6094 7043 4935,9451 6509 8708 4792
Gayatri Sood,11/06/1984,8863 1697 1760,1643 4253 2748 5703
Harsha Ahluwalia,15/08/1988,7539 2319 7550,0426 2845 3795 5042
Manoj Sharma,22/02/1981,9876 1433 0987,0302 4430 3110 2915
Vinay Sabharwal,15/04/1994,8061 6858 1162,5648 0316 3163 1296
Neha Gill,30/06/2005,7041 1364 1353,2581 8776 7553 9784
Sneha Pande,07/03/2005,9672 7685 6898,6859 2169 8184 5939
Trisha Thakur,10/07/1991,4548 9352 6938,2039 2197 2191 4855
Nikhil Chhabra,19/09/1980,8173 7749 6412,7940 1661 2900 9027
Nisha Menon,09/02/1986,2011 9087 3047,7522 4187 2930 1176
Dinesh Rao,10/07/1993,7930 6244 8654,7624 9506 4922 7149
Kunal Bose,08/03/1987,3941 9080 1665,7937 1022 4082 9126
Abhishek Talwar,26/12/1986,9771 0387 1704,5396 3478 1605 0972
Yogesh Carvalho,11/12/1987,0452 1019 2106,0215 1783 9410 9104
Kunal Jain,29/06/1995,6144 6052 0236,2763 0514 8006 1592
Yogesh Barot,17/05/2003,6731 7477 4133,8704 5005 6277 3816
Sheetal Grover,30/09/1985,8463 4974 2826,6696 6126 4372 0962
Parth Bose,29/10/2005,5826 1796 6992,3396 3522 5254 3466
Siddharth Kapoor,12/08/1997,0339 2892 5642,5354 5420 7124 6250
Naina Vyas,31/05/2002,1450 7220 6400,6353 3389 9325 6156
Preeti Kumar,03/06/1998,3242 3842 1329,2374 6029 5253 6728
Harish Barot,03/11/1989,2258 7303 6734,3498 3256 8233 1713
Pallavi Dubey,06/04/1986,8466 5649 8695,4065 9068 6203 9416
Kavya Pillai,23/03/1986,4925 9293 1227,1776 6456 0685 5959
Tanya Vaswani,10/12/1987,8091 8055 0869,9231 9327 2327 4843
Aparna Menon,24/08/1997,6145 7265 3006,0650 9684 8097 6984
Kiran Khare,31/03/2001,5096 8425 6307,2386 2559 8295 5841
Sneha Singh,16/06/1980,7315 6080 4978,4331 2880 5020 8046
Ritika Bhagat,18/12/1985,9663 2685 8569,4047 9791 7028 1310
Shreya Talwar,28/01/1998,3472 6401 8448,1734 6292 2912 4414
Uday Joshi,15/08/1993,1221 5953 1887,0611 8942 0463 5264
Rahul Thakur,16/04/1997,5770 3530 9500,0497 5647 7650 9042
Ravi Fernandes,18/04/1980,4362 4541 2354,5767 2118 0417 2403
Ipsita Desai,12/05/2001,1614 3541 0436,9338 6651 6054 5898
Shalini Das,25/02/2002,9348 8612 2789,2427 4021 1379 5049
Juhi Das,15/09/1993,2965 7317 9758,8239 3911 5142 0677
Shalini Menon,18/09/2001,1510 4962 5473,9185 9805 4392 4848
Sanya Rana,06/06/2004,6822 5328 1409,1805 7961 0883 2532
Varun Ahuja,16/12/2006,2511 4826 5182,4139 7005 4272 2122
Preeti Paul,20/02/1994,5754 8834 1816,4969 2501 0643 0313
Diya Gupta,30/12/1980,6067 3550 2174,6270 9305 2957 8010
Kavya Ojha,29/01/1984,6504 2496 4717,3791 3848 7249 7192
Nisha Damani,23/11/1982,6550 8610 0114,6488 7355 4406 8080
Neha Bajaj,26/05/1982,2337 9220 5592,3796 2989 5304 8321
Leena Khare,03/03/1987,7562 8432 0888,9065 0320 3398 6823
Trisha Kumar,24/09/2005,9229 5422 5203,5998 5199 4927 2178
Varun Yadav,12/12/1980,3571 0677 2209,6605 4809 3903 2826
Aditya Nagpal,20/06/1998,1380 3808 9931,6823 2719 0173 2813
Vandana Tyagi,27/02/1990,0517 9814 1836,0859 9238 6734 8591
Karan Kumar,04/09/1995,9840 6173 8445,9094 8987 5281 1267
Yogesh Bhatt,28/11/1984,7320 9558 7595,7988 3149 2244 9199
Kiran Vaswani,12/04/1991,2486 2598 8053,8419 8851 6917 4953
Sameer Roy,11/08/1993,4477 8566 9736,1826 4170 0233 9312
Aryan Carvalho,07/04/1995,2709 9774 6724,7377 3000 1998 0038
Keshav DCosta,26/09/1995,1839 3414 4536,2268 3250 6859 7640
Ravi Yadav,20/11/1982,0650 2128 3976,0588 9480 9548 0548
Harish Tiwari,26/07/2005,4004 7592 7311,5810 6150 9297 9311
Amrita Saxena,21/11/2000,8973 9616 5661,7487 5490 2822 3960
Preeti Tripathi,23/08/1997,9286 8276 8138,0682 3457 0433 4590
Neelam Modi,11/08/1989,3131 6440 3370,7937 0980 4870 4977
Simran Pillai,04/08/1995,1527 5329 9947,6536 0320 1086 5338
Lavanya Kalra,25/01/2000,3612 3297 7035,5766 4076 9730 8004
Priya Vaswani,02/10/1988,0787 6409 1718,1818 1260 8010 1125
Chirag Ahuja,05/11/1998,3970 2674 0125,2577 4590 0186 2103
Akhil Pandey,07/12/2001,8724 1361 2418,6455 5149 1371 4000
Aparna Kaushik,26/03/1996,8097 1977 3273,7732 2108 2988 6900
Manoj Sinha,22/07/2003,4694 1051 6877,6391 3342 4226 6979
Naina Kamble,08/08/2002,9586 4645 7677,3038 6351 5736 2561
